City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sumbe,-11.21,13.84,80.6,83,75,6.93,AO,1602861243
kozhva,65.11,57.05,28.8,96,100,9.48,RU,1602861243
durban,-29.86,31.03,70.0,73,75,5.82,ZA,1602861150
rosetta,31.4,30.42,82.4,51,0,11.41,EG,1602861243
kuching,1.55,110.33,80.6,94,20,1.12,MY,1602861243
bauchi,10.5,10.0,92.57,31,42,9.93,NG,1602861243
faanui,-16.48,-151.75,78.28,80,51,7.83,PF,1602861244
ruwi,23.6,58.55,84.2,42,0,3.36,OM,1602861244
churapcha,62.0,132.43,14.04,94,84,6.06,RU,1602860972
cabedelo,-6.98,-34.83,86.0,55,40,11.41,BR,1602861244
sayat,38.78,63.88,68.0,28,0,6.93,TM,1602861244
hengelo,52.27,6.79,52.0,69,84,5.99,NL,1602861244
susa,35.83,10.64,75.99,40,17,3.36,TN,1602861244
porto walter,-8.27,-72.74,80.33,71,97,2.55,BR,1602861245
constitucion,-35.33,-72.42,59.38,73,2,10.96,CL,1602861245
lima,-12.04,-77.03,64.4,82,90,5.82,PE,1602861071
touros,-5.2,-35.46,86.0,55,40,13.87,BR,1602861245
camopi,3.17,-52.32,95.68,29,16,5.28,GF,1602861245
quixada,-4.97,-39.02,98.02,22,4,8.16,BR,1602861245
andenes,69.31,16.12,41.0,93,75,18.34,NO,1602860960
artigas,-30.4,-56.47,75.0,70,2,13.33,UY,1602861245
broken hill,-31.95,141.43,68.0,60,75,12.75,AU,1602861246
iquitos,-3.75,-73.25,77.0,88,75,5.82,PE,1602860985
gizo,-8.1,156.84,81.54,74,7,3.87,SB,1602861246
ahipara,-35.17,173.17,49.1,84,6,2.15,NZ,1602861246
tirano,46.22,10.17,57.99,60,75,13.87,IT,1602861246
san angelo,31.46,-100.44,57.0,50,1,8.05,US,1602861247
hasaki,35.73,140.83,59.0,87,75,11.41,JP,1602860983
san onofre,9.74,-75.53,85.78,72,16,5.39,CO,1602861082
jacareacanga,-6.22,-57.75,100.11,35,27,1.81,BR,1602861248
candelaria,13.93,121.42,75.99,96,36,1.01,PH,1602861248
nohar,29.18,74.77,83.16,15,67,5.44,IN,1602860998
gwadar,25.12,62.33,82.17,41,0,7.2,PK,1602861127
zaoyang,32.13,112.75,58.39,67,0,5.06,CN,1602861248
ylivieska,64.08,24.55,44.01,84,68,1.01,FI,1602861248
flinders,-34.58,150.86,57.99,85,83,3.49,AU,1602861248
kaz,52.91,87.31,37.53,90,6,3.91,RU,1602861249
alta floresta,-9.88,-56.09,100.81,25,19,4.27,BR,1602861249
